name,domain,mode,bg,surface,content,muted,border,primary,accent,success,warning,danger,notes
rhythm-stage-neon-dark,rhythm music stage beat game,dark,#090911,#151423,#f2efff,#a6a0bd,#2e2b43,#e94fff,#31d8ff,#34c97a,#ffc845,#ff4b70,Stage neon palette; reserve glow for beat and score feedback.
casino-slot-luxe-dark,casino slot luck reward game,dark,#0b0908,#17120e,#f5ead7,#aa9a83,#30251b,#c4473a,#d6a443,#39a56c,#d9a441,#d84842,Luxe slot palette; reward shine must not hide price or odds.
sports-arena-light,sports arena team scoreboard competition,light,#f5f8fb,#ffffff,#182334,#657287,#dbe4ee,#1f66d1,#ef6c35,#2eaa62,#d79a22,#d84a4a,Clean arena palette; team color and score data lead.
city-builder-civic-light,city builder civic planning simulation,light,#f3f7f4,#ffffff,#17251e,#617267,#d9e6dc,#2c7a57,#4da3d9,#32a66a,#c69028,#cf4f45,Civic planning palette; zoning and alerts need clear semantics.
farming-cozy-sim-light,farming cozy sim garden harvest game,light,#fbf7ed,#fffdf8,#2a2418,#6f6655,#e6dcc6,#6fa45c,#d98b45,#4fae65,#c89b2f,#cf5b4d,Harvest palette with varied muted color; avoid beige-only UI.
marketplace-trust-light,marketplace ecommerce seller buyer commerce,light,#f7f8fb,#ffffff,#1b2230,#626c7a,#e0e5ed,#2557d6,#f26b3a,#239b58,#c78616,#d4483e,Trustworthy marketplace palette; products and prices stay dominant.
wellness-soft-light,wellness meditation habit calm health,light,#f5f8f3,#ffffff,#1f2a22,#677466,#dde8dc,#4f8f72,#8aa7d6,#3f9f68,#c0902f,#cc5a4d,Soft wellness palette; calm does not mean low contrast.
education-study-light,education study classroom learning app,light,#f7f8ff,#ffffff,#20233a,#666a84,#e1e4f2,#4f5bd5,#f59f3d,#32a66f,#c98518,#d84c4c,Focused learning palette; progress and mistakes remain friendly.
personal-finance-light,personal finance budgeting money planning,light,#f5f8f7,#ffffff,#18251f,#607267,#d8e6df,#21785a,#2d93c8,#258f59,#ba7b13,#c7433c,Personal finance palette; income expense and risk use non-color cues.
medical-ops-dark,medical operations emergency clinical dashboard,dark,#091113,#121c1f,#e8f2f3,#8da3a8,#233238,#2da6a4,#6bb7d6,#37a66a,#d49a27,#e05247,Serious clinical dark palette; red reserved for real urgency.
analytics-signal-light,analytics dashboard data charts bi,light,#f7f9fc,#ffffff,#131822,#5a6675,#e1e6ee,#5b4cff,#2563eb,#1f9d55,#b5710a,#d23b2f,Neutral light canvas so chart colors carry meaning; avoid saturated panels.
devtool-terminal-light,developer tools code ide terminal,light,#f7f8fa,#ffffff,#14181f,#5a6675,#e0e4ea,#2f6df6,#0a8aa6,#1f8a55,#9a6b12,#d23b2f,High-legibility light for code; pair with a mono font for tokens.
ecommerce-clean-dark,ecommerce shop retail product,dark,#0e0f12,#16181d,#eef0f3,#9aa1ad,#262a31,#ef6a43,#6aa3ff,#34b36a,#d8a31e,#ef5350,Dark product-first canvas; let product imagery dominate.
news-readable-dark,news reading content editorial blog,dark,#14130f,#1c1b16,#ece7db,#a39c8b,#2c2a22,#e0573f,#6aa3ff,#4fae6a,#cfa12e,#d4503f,Dark reading mode for long-form; warm tone with readable body.
personal-finance-dark,personal finance budgeting money planning,dark,#0b1311,#131e1a,#e8f1ec,#93a69c,#243730,#2bb07f,#3aa0d6,#2fae68,#d39a26,#e0554a,Dark finance palette; income expense and risk use non-color cues.
premium-luxury-light,premium luxury fashion minimal,light,#f6f4ef,#fffdf9,#1c1a16,#6e685c,#e6e0d4,#1c1a16,#b08a4a,#3f9d6b,#b07d1e,#b8463a,Refined light luxury; restrained palette, imagery leads.
productivity-focus-dark,productivity notes tasks calendar,dark,#101116,#181a21,#e9eaef,#969aa6,#262934,#5b73f0,#14b8b8,#34b36a,#d2a020,#e0554a,Quiet dark focus palette; one accent so the next action is obvious.
social-warm-dark,social consumer chat community,dark,#0f1013,#17191e,#eceef2,#969ba6,#262a31,#4f86f5,#ff6a98,#2fae68,#d8a31e,#ef5360,Friendly dark consumer base; accent for highlights, not whole UI.
music-immersive-light,music streaming media entertainment,light,#f6f5fa,#ffffff,#181622,#6a6678,#e6e2ee,#7a4fe0,#1ba98c,#259d5a,#b5790f,#d23b4a,Light media browsing; let cover art provide color.
medical-ops-light,medical operations emergency clinical dashboard,light,#f3f8f8,#ffffff,#10211f,#56706f,#d6e3e3,#1f8a88,#2d7fb0,#1f8a55,#a8741a,#cc4335,Daytime clinical light palette; red reserved for real urgency.
health-calm-dark,healthcare medical wellness clinic,dark,#0a1416,#111d20,#e6f0f1,#8ba3a6,#233236,#2bb3b0,#4fb0d0,#34b36a,#d39a26,#e0554a,Calm clinical dark palette; teal reads caring not alarming.
travel-airy-dark,travel maps booking hospitality,dark,#0a1622,#11202e,#e7f0f6,#93a6b3,#243646,#2c9fe0,#ff8a52,#2fae68,#d79b2a,#e0584a,Open dark travel palette; warm accent for CTAs over photography.
cozy-lifestyle-dark,cozy lifestyle calm personal home,dark,#15110d,#1e1812,#efe6d8,#a89b89,#2f271d,#d08a5e,#84b07a,#5aa775,#d3a23e,#d56a54,Warm dark comfort palette; avoid muddy low contrast.
fitness-energy-light,fitness sport health tracker,light,#f3f7f6,#ffffff,#122019,#5a6a62,#dbe6e1,#0fae84,#e8504f,#1fae72,#c4881a,#d8413f,Energetic light tracker; green progress, red for limits and alerts.
food-delivery-dark,food delivery restaurant menu,dark,#16100c,#1f1812,#f1e7dc,#ad9c8c,#30261c,#ef6a3c,#ffb84a,#36b367,#e0972a,#e0564a,Appetizing dark food palette; orange CTA over food photography.
marketplace-trust-dark,marketplace ecommerce seller buyer commerce,dark,#0d1016,#161a22,#eaeef4,#97a0af,#262b35,#4f86f5,#ff7a4a,#2fae68,#d99a22,#e0564e,Trustworthy dark marketplace; products and prices stay dominant.
wellness-soft-dark,wellness meditation habit calm health,dark,#0e1411,#161e1a,#e7efe8,#93a59a,#25322c,#4f9f80,#8aa7d6,#36b06f,#c99a34,#d85f50,Soft dark wellness palette; calm does not mean low contrast.
education-study-dark,education study classroom learning app,dark,#101220,#181b2c,#e9ebf6,#999db5,#272b40,#6573e8,#f5a23d,#36b06f,#d39a26,#e0554e,Focused dark learning palette; progress and mistakes remain friendly.
