name,domain,density,chrome_level,primary_surfaces,good_for,avoid,notes
sports-arena-ui,sports team scoreboard match competition,medium,medium,scoreboard stat strip lineup card bracket panel,sports matches league screens,"tiny score equal team states motion blur behind stats",Scores teams and time remain readable at a glance.
city-builder-ui,city builder civic planning simulation,dense,medium,map grid zoning toolbar resource panel alert queue,city builders management sims,"panels hiding map same color zones no resource priority",Map first with clear zoning resource and alert hierarchy.
farming-cozy-sim-ui,farming cozy sim garden harvest mobile game,medium,low,plot grid inventory basket calendar quest card,farming cozy sims collection games,"beige only low contrast tiny crop timers cluttered shop",Gentle but useful with clear crop timers and collection states.
marketplace-commerce-ui,marketplace ecommerce seller buyer shop app,medium,low,search bar product grid filters seller card checkout sheet,marketplace browse sell checkout,"decorative chrome competing with product price hidden seller trust",Product price availability and trust cues dominate.
wellness-care-ui,wellness meditation habit calm health app,low,low,session card progress ring habit list checkin sheet,wellness habit meditation apps,"washed out contrast slow hidden actions vague progress",Calm surfaces with visible progress and accessible state feedback.
education-study-ui,education study classroom lesson app,medium,low,lesson cards quiz panel progress tracker resource list,education study tools learning games,"dense text subtle disabled states hidden mistakes",Clear learning path with friendly error recovery and progress.
personal-finance-ui,personal finance budgeting planning app,dense,low,budget cards transaction table category chart alert row,budgeting personal finance,"red green only money states hidden time ranges vague totals",Explicit units categories dates and non-color money cues.
medical-ops-ui,medical operations emergency clinical dashboard,dense,low,patient list status board triage panel alert queue,clinical operations emergency dashboards,"decorative dark mode alarming red accents tiny critical labels",Serious low chrome dashboard with red only for true urgency.
social-multiplayer-ui,multiplayer social lobby party leaderboard chat game,medium,medium,lobby slots party panel friends list leaderboard chat,multiplayer lobbies parties social screens,"green-dot-only presence chat over hud silent matchmaking spinner",Show slot ready host state clearly and keep a visible cancel and empty state.
live-ops-event-ui,live-ops season battle pass daily reward event game,medium,medium,season track reward tiers daily panel event banner store,seasonal events battle pass daily rewards,"fake urgency manipulative streak loss glow on every reward",Show claimable locked and expiring honestly in one glance; reserve emphasis for new or claimable.
